username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
kurospiral,5,0,0,5,0.000000,1.955903,0.000000,1,0,0,1,0.000000,0.149510,0.000000,4,0,0,4,0.000000,1.806394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
legendaryhoi,7,5,0,2,1.852140,0.668580,2.770259,0,0,0,0,0.000000,0.000000,0.000000,7,5,0,2,1.852140,0.668580,2.770259,-2.770259,0.000000,0.600000,0.000000,0.714286,-0.714286,0.00,
lil_mouse_10,7,1,0,6,0.564400,2.121047,0.266095,3,1,0,2,0.564400,0.687159,0.821354,4,0,0,4,0.000000,1.433888,0.000000,0.821354,0.000000,0.000000,0.333333,0.000000,0.333333,0.00,
m7marel4a3er,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
macronaute,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
mrvacaa,1,1,0,0,0.213037,0.000000,213036720.610531,0,0,0,0,0.000000,0.000000,0.000000,1,1,0,0,0.213037,0.000000,213036720.610531,-213036720.610531,0.000000,1.000000,0.000000,1.000000,-1.000000,0.00,
mswag420,9,5,0,4,2.909472,2.546528,1.142525,0,0,0,0,0.000000,0.000000,0.000000,9,5,0,4,2.909472,2.546528,1.142525,-1.142525,0.400000,0.200000,0.000000,0.555556,-0.555556,0.00,
n4nni13,3,2,0,1,0.084626,0.642713,0.131670,0,0,0,0,0.000000,0.000000,0.000000,3,2,0,1,0.084626,0.642713,0.131670,-0.131670,0.000000,0.500000,0.000000,0.666667,-0.666667,0.00,
nerdy_fiona,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
occhiodivetro,13,8,2,3,0.367817,2.496949,0.147307,13,8,2,3,0.367817,2.496949,0.147307,0,0,0,0,0.000000,0.000000,0.000000,0.147307,0.000000,0.625000,0.727273,0.000000,0.727273,0.00,
olek_walenciak,1,0,0,1,0.000000,0.278922,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.278922,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
onetastypawn,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
pajakwaldek,34,22,0,12,8.041333,4.260110,1.887588,17,12,0,5,4.155717,2.555783,1.626005,17,10,0,7,3.885616,1.704327,2.279854,-0.653849,0.272727,0.181818,0.705882,0.588235,0.117647,0.00,
paraselsus,60,37,4,19,9.675797,10.403699,0.930034,3,1,1,1,0.557107,0.324960,1.714387,57,36,3,18,9.118690,10.078739,0.904745,0.809642,0.243243,0.243243,0.500000,0.666667,-0.166667,0.00,
platypus_2525,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
rekboss45,10,0,0,10,0.000000,5.698623,0.000000,10,0,0,10,0.000000,5.698623,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
rexv21157,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
rohan_dubey1511,2,0,0,2,0.000000,0.790455,0.000000,2,0,0,2,0.000000,0.790455,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
roman-1980,9,3,2,4,1.037199,2.546448,0.407312,9,3,2,4,1.037199,2.546448,0.407312,0,0,0,0,0.000000,0.000000,0.000000,0.407312,0.000000,0.333333,0.428571,0.000000,0.428571,0.00,
rudra-pratapsingh-2012,14,10,0,4,3.581304,1.187537,3.015740,10,8,0,2,2.898855,0.647407,4.477639,4,2,0,2,0.682448,0.540130,1.263489,3.214150,0.100000,0.200000,0.800000,0.500000,0.300000,0.00,
salapipus,15,2,0,13,0.898110,3.845050,0.233576,10,2,0,8,0.898110,2.431913,0.369302,5,0,0,5,0.000000,1.413138,0.000000,0.369302,0.000000,0.000000,0.200000,0.000000,0.200000,0.00,
salmon1001,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
sassygirltebritish,13,6,1,6,2.942954,2.476119,1.188535,3,2,0,1,0.497518,0.484175,1.027559,10,4,1,5,2.445435,1.991944,1.227663,-0.200104,0.000000,1.000000,0.666667,0.444444,0.222222,0.00,
shivanishelat,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
shnipvanwinkel,3,3,0,0,1.383507,0.000000,1383507237.979440,0,0,0,0,0.000000,0.000000,0.000000,3,3,0,0,1.383507,0.000000,1383507237.979440,-1383507237.979440,0.000000,0.000000,0.000000,1.000000,-1.000000,0.00,
siddhesh1621,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
skandkumar24,5,1,0,4,0.685060,1.186430,0.577412,0,0,0,0,0.000000,0.000000,0.000000,5,1,0,4,0.685060,1.186430,0.577412,-0.577412,1.000000,0.000000,0.000000,0.200000,-0.200000,0.00,
smile33333,13,12,0,1,4.837533,0.614501,7.872291,7,6,0,1,2.465775,0.614501,4.012643,6,6,0,0,2.371759,0.000000,2371758864.526407,-2371758860.513764,0.333333,0.333333,0.857143,1.000000,-0.142857,0.00,
speed498558,1,0,0,1,0.000000,0.441269,0.000000,0,0,0,0,0.000000,0.000000,0.000000,1,0,0,1,0.000000,0.441269,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
stormbringer,26,7,1,18,2.490125,5.167000,0.481929,13,2,0,11,0.026773,3.875797,0.006908,13,5,1,7,2.463352,1.291203,1.907796,-1.900888,0.428571,0.285714,0.153846,0.416667,-0.262821,0.00,
sully2112,1,1,0,0,0.404757,0.000000,404756960.348428,1,1,0,0,0.404757,0.000000,404756960.348428,0,0,0,0,0.000000,0.000000,0.000000,404756960.348428,0.000000,1.000000,1.000000,0.000000,1.000000,0.00,
sung-jin-woo1000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
swap_partition,11,2,1,8,0.820141,2.405282,0.340975,0,0,0,0,0.000000,0.000000,0.000000,11,2,1,8,0.820141,2.405282,0.340975,-0.340975,0.500000,0.000000,0.000000,0.200000,-0.200000,0.00,
t0nys0prano,9,3,0,6,0.777269,1.711922,0.454033,2,0,0,2,0.000000,0.376406,0.000000,7,3,0,4,0.777269,1.335515,0.581999,-0.581999,0.333333,0.333333,0.000000,0.428571,-0.428571,0.00,
tiago280,36,6,0,30,4.002683,8.477768,0.472139,0,0,0,0,0.000000,0.000000,0.000000,36,6,0,30,4.002683,8.477768,0.472139,-0.472139,0.166667,0.666667,0.000000,0.166667,-0.166667,0.00,
titouan_prime,14,3,0,11,0.934393,5.172669,0.180640,9,1,0,8,0.246614,4.314756,0.057156,5,2,0,3,0.687779,0.857913,0.801689,-0.744533,0.000000,0.333333,0.111111,0.400000,-0.288889,0.00,
valentind2024,4,3,0,1,0.465858,0.425720,1.094283,4,3,0,1,0.465858,0.425720,1.094283,0,0,0,0,0.000000,0.000000,0.000000,1.094283,0.333333,0.333333,0.750000,0.000000,0.750000,0.00,
zenisthsu00,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,
